Model ready
175 meta 1.819887638092041
176 meta 1.897743582725525
177 meta 1.9137189388275146
178 meta 1.99899160861969
179 meta 1.9240013360977173
180 meta 1.894334316253662
181 meta 1.9458246231079102
182 meta 2.0050008296966553
183 meta 1.8844971656799316
184 meta 1.887952208518982
185 meta 1.939990758895874
186 meta 1.914872646331787
187 meta 1.915015459060669
188 meta 1.8606834411621094
189 meta 1.8575239181518555
190 meta 1.8462393283843994
191 meta 1.7390636205673218
192 meta 1.6904910802841187
193 meta 1.9610668420791626
194 meta 1.9046835899353027
195 meta 1.8013837337493896
196 meta 1.6780792474746704
197 meta 1.9267131090164185
198 meta 1.972339153289795
199 meta 1.9532166719436646
200 meta 1.85306978225708
201 meta 1.8152118921279907
202 meta 1.912186622619629
203 meta 1.7249947786331177
204 meta 1.7224843502044678
205 meta 1.9629175662994385
206 meta 1.9473899602890015
207 meta 1.972022533416748
208 meta 2.20833158493042
209 meta 2.0628695487976074
210 meta 1.8667548894882202
211 meta 2.155381202697754
212 meta 1.9942796230316162
213 meta 1.994679570198059
214 meta 2.1312978267669678
215 meta 2.028205394744873
216 meta 1.8680381774902344
217 meta 1.8287912607192993
218 meta 1.9233074188232422
219 meta 1.999538779258728
220 meta 1.7894625663757324
221 meta 1.8234492540359497
222 meta 1.8613511323928833
223 meta 1.8766367435455322
224 meta 1.7970223426818848
225 meta 1.9535526037216187
226 meta 1.659361481666565
227 meta 1.713133454322815
228 meta 1.8269338607788086
229 meta 1.8857396841049194
230 meta 1.751043677330017
231 meta 1.8374754190444946
232 meta 2.1144726276397705
233 meta 1.9480477571487427
234 meta 1.6685690879821777
235 meta 1.8429673910140991
236 meta 1.8290667533874512
237 meta 1.7047489881515503
238 meta 1.928951621055603
239 meta 1.9300448894500732
240 meta 1.7071088552474976
241 meta 1.8198564052581787
242 meta 1.5938706398010254
243 meta 1.667312502861023
244 meta 1.7855942249298096
245 meta 1.919734239578247
246 meta 2.138988494873047
247 meta 2.002333164215088
248 meta 1.880797028541565
249 meta 1.6404173374176025
250 meta 1.6922420263290405
251 meta 1.8048968315124512
252 meta 1.7453675270080566
253 meta 1.8283841609954834
